Time	Type	Device name	Error code	Error label
10.03.2020 05:10:56	hard reset	DBN-GSO-L156	0x0	-
10.03.2020 05:06:51	hard reset	LDN-TACT-L052	0x0	-
10.03.2020 05:00:15	hard reset	LDN-FING-L049	0x0	-
10.03.2020 04:50:27	hard reset	HKG-REAL-L152	0x0	-
10.03.2020 04:37:59	hard reset	LDN-REAL-L575	0x0	-
10.03.2020 04:35:06	hard reset	LDN-PEQG-L160	0x0	-
10.03.2020 04:13:54	hard reset	LDN-PWM-L031	0x0	-
10.03.2020 03:57:26	hard reset	LDN-GSO-L090	0x0	-
10.03.2020 02:29:11	hard reset	GUR-REAL-L154	0x0	-
10.03.2020 01:17:43	hard reset	HKG-COMP-L028	0x0	-
10.03.2020 00:39:36	hard reset	NYC-BAAM-L666	0x0	-
09.03.2020 23:40:01	hard reset	NYC-REAL-L833	0x0	-
09.03.2020 23:19:50	hard reset	NYC-COMP-L199	0x0	-
09.03.2020 22:07:34	hard reset	NYC-BXII-L395	0x0	-
09.03.2020 22:03:35	hard reset	NYC-REAL-L775	0x0	-
09.03.2020 22:00:25	hard reset	NYC-BXII-L879	0x0	-
09.03.2020 21:23:44	hard reset	HKG-PEQG-L126	0x0	-
09.03.2020 21:22:44	hard reset	NYC-BAAM-L958	0x0	-
09.03.2020 21:09:33	hard reset	HKG-REAL-L138	0x0	-
09.03.2020 20:53:26	hard reset	NYC-TACT-L098	0x0	-
09.03.2020 20:36:33	hard reset	NYC-BISG-L065	0x0	-
09.03.2020 20:23:44	hard reset	TOK-PEQG-L006	0x0	-
09.03.2020 20:10:51	hard reset	NYC-PEQG-L715	0x0	-
09.03.2020 20:07:06	hard reset	NYC-REAL-L065	0x0	-
09.03.2020 19:54:00	hard reset	NYC-REAL-L591	0x0	-
09.03.2020 19:43:34	hard reset	NYC-REAL-L910	0x0	-
09.03.2020 19:05:34	hard reset	NYC-INFR-L073	0x0	-
09.03.2020 18:39:22	hard reset	NYC-TACT-L180	0x0	-
09.03.2020 18:08:06	hard reset	ZOOM-NEW-TC3FX2	0x0	-
09.03.2020 17:22:12	hard reset	NYC-GSO-L568	0x0	-
09.03.2020 17:17:37	hard reset	DBN-GSO-L148	0x0	-
09.03.2020 17:12:18	hard reset	LDN-PORT-L004	0x0	-
09.03.2020 16:45:16	hard reset	NYC-FING-L700	0x0	-
09.03.2020 16:44:28	hard reset	NYC-REAL-L956	0x0	-
09.03.2020 16:40:48	hard reset	HUS-GSO-L072	0x0	-
09.03.2020 16:33:49	hard reset	NYC-BXII-L587	0x0	-
09.03.2020 16:24:53	hard reset	NYC-INFR-L061	0x0	-
09.03.2020 15:04:44	hard reset	LDN-REAL-L533	0x0	-
09.03.2020 14:56:13	hard reset	NYC-TACT-L130	0x0	-
09.03.2020 14:32:18	hard reset	NYC-REAL-L907	0x0	-
09.03.2020 14:22:47	hard reset	LDN-REAL-L523	0x0	-
09.03.2020 14:22:05	hard reset	NYC-HUMN-L126	0x0	-
09.03.2020 14:19:26	hard reset	LDN-REAL-L643	0x0	-
09.03.2020 14:11:05	hard reset	NYC-PORT-L048	0x0	-
09.03.2020 14:05:19	hard reset	TOK-IRBD-L014	0x0	-
09.03.2020 14:02:51	hard reset	NYC-GSO-L263	0x0	-
09.03.2020 14:00:14	hard reset	LDN-REAL-L521	0x0	-
09.03.2020 13:58:09	hard reset	LDN-REAL-L555	0x0	-
09.03.2020 13:30:26	hard reset	NYC-GSO-L454	0x0	-
09.03.2020 13:22:33	hard reset	NYC-BAAM-L780	0x0	-
09.03.2020 13:21:44	hard reset	NYC-FING-L440	0x0	-
09.03.2020 13:15:13	hard reset	NYC-FING-L413	0x0	-
09.03.2020 13:14:23	hard reset	NYC-ERSG-L049	0x0	-
09.03.2020 13:13:17	hard reset	HUS-GSO-L071	0x0	-
09.03.2020 13:11:52	hard reset	MUM-PEQG-L086	0x0	-
09.03.2020 13:10:03	hard reset	NYC-PEQG-L724	0x0	-
09.03.2020 12:55:38	hard reset	LDN-40BS-07-BER	0x0	-
09.03.2020 12:55:37	hard reset	NYC-GCS-L140	0x0	-
09.03.2020 12:50:54	hard reset	NYC-GSO-L263	0x0	-
09.03.2020 12:44:37	hard reset	GUR-BXII-L218	0x0	-
09.03.2020 12:34:18	hard reset	NYC-FING-W854	0x0	-
09.03.2020 12:31:45	hard reset	NYC-BXII-L794	0x0	-
09.03.2020 12:30:35	hard reset	LDN-TACT-L067	0x0	-
09.03.2020 12:23:26	hard reset	DBN-GSO-L163	0x0	-
09.03.2020 12:19:16	hard reset	GUR-BXII-L533	0x0	-
09.03.2020 12:17:11	hard reset	NYC-TACT-L139	0x0	-
09.03.2020 12:09:17	hard reset	NYC-PORT-L022	0x0	-
09.03.2020 12:05:38	hard reset	GUR-BXII-L507	0x0	-
09.03.2020 12:01:07	hard reset	GUR-BXII-L546	0x0	-
09.03.2020 11:54:54	hard reset	NYC-INFR-L017	0x0	-
09.03.2020 11:52:16	hard reset	GUR-BXII-L507	0x0	-
09.03.2020 11:40:50	hard reset	NYC-HUMN-L076	0x0	-
09.03.2020 11:38:36	hard reset	GUR-BXII-L507	0x0	-
09.03.2020 11:21:15	hard reset	NYC-REAL-L952	0x0	-
09.03.2020 11:12:57	hard reset	TOK-REAL-L068	0x0	-
09.03.2020 11:02:30	hard reset	GUR-FING-L237	0x0	-
09.03.2020 10:54:22	hard reset	NYC-REAL-L887	0x0	-
09.03.2020 10:50:28	hard reset	NYC-STPG-L070	0x0	-
09.03.2020 10:48:46	hard reset	NYC-GSO-L263	0x0	-
09.03.2020 10:46:19	hard reset	NYC-GSO-L491	0x0	-
09.03.2020 10:42:45	hard reset	NYC-REAL-L769	0x0	-
09.03.2020 10:39:55	hard reset	NYC-REAL-L986	0x0	-
09.03.2020 10:34:03	hard reset	SIN-REAL-L065	0x0	-
09.03.2020 10:30:13	hard reset	NYC-GSO-L546	0x0	-
09.03.2020 10:16:37	hard reset	HUS-GSO-L068	0x0	-
09.03.2020 10:07:35	hard reset	NYC-GSO-L364	0x0	-
09.03.2020 10:07:32	hard reset	GUR-FING-L160	0x0	-
09.03.2020 10:05:42	hard reset	NYC-SIG-L045	0x0	-
09.03.2020 10:05:17	hard reset	NYC-REAL-L633	0x0	-
09.03.2020 09:54:27	hard reset	NYC-TEMP-L057	0x0	-
09.03.2020 09:52:52	hard reset	NYC-BXII-L1078	0x0	-
09.03.2020 09:51:45	hard reset	NYC-PODS-L007	0x0	-
09.03.2020 09:51:26	hard reset	NYC-BAAM-L015	0x0	-
09.03.2020 09:51:03	hard reset	NYC-FING-L586	0x0	-
09.03.2020 09:47:22	hard reset	NYC-REAL-L835	0x0	-
09.03.2020 09:45:58	hard reset	NYC-PODS-L007	0x0	-
09.03.2020 09:45:27	hard reset	NYC-BXII-L1031	0x0	-
09.03.2020 09:43:57	hard reset	NYC-PODS-L007	0x0	-
09.03.2020 09:42:54	hard reset	NYC-BXII-L853	0x0	-
09.03.2020 09:41:39	hard reset	LDN-REAL-L564	0x0	-
09.03.2020 09:38:30	hard reset	NYC-STPG-L073	0x0	-
09.03.2020 09:35:49	hard reset	NYC-HUMN-L117	0x0	-
09.03.2020 09:35:08	hard reset	NYC-TEMP-L057	0x0	-
