"Time of installation";"Operation type";"Package type";"Package name";"Package version";"Package publisher";"Package program";"Device name"
"10.03.2020 12:35:12";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L922"
"10.03.2020 12:35:12";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L922"
"10.03.2020 12:34:01";"installation";"program";"Microsoft Visual Studio 2019 IntelliTrace (x64)";"16.0.29519";"Microsoft Corporation";"Microsoft Visual Studio 2019 IntelliTrace (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core Host FX Resolver - 3.1.2 (x64)";"24.72.28517";"Microsoft Corporation";"Microsoft .NET Core Host FX Resolver - 3.1.2 (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Performance Tools for Visual Studio 2019";"16.0.29519.181";"Microsoft Corporation";"Performance Tools for Visual Studio 2019";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft Windows Desktop Runtime - 3.1.2 (x64)";"24.72.28517";"Microsoft Corporation";"Microsoft Windows Desktop Runtime - 3.1.2 (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft ASP.NET Core 3.1.2 Shared Framework (x64)";"3.1.2.0";"Microsoft Corporation";"Microsoft ASP.NET Core 3.1.2 Shared Framework (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core AppHost Pack - 3.1.2 (x64_arm)";"24.72.28517";"Microsoft Corporation";"Microsoft .NET Core AppHost Pack - 3.1.2 (x64_arm)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core Host - 3.1.2 (x64)";"24.72.28517";"Microsoft Corporation";"Microsoft .NET Core Host - 3.1.2 (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core Runtime - 3.1.2 (x64)";"24.72.28517";"Microsoft Corporation";"Microsoft .NET Core Runtime - 3.1.2 (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft Visual Studio 2019 IntelliTrace (x86)";"16.0.29519";"Microsoft Corporation";"Microsoft Visual Studio 2019 IntelliTrace (x86)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft Visual Studio 2019 Performance Collection Tools";"16.0.29519";"Microsoft Corporation";"Microsoft Visual Studio 2019 Performance Collection Tools";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft ASP.NET Core 3.1.2 Targeting Pack (x64)";"3.1.2.0";"Microsoft Corporation";"Microsoft ASP.NET Core 3.1.2 Targeting Pack (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core AppHost Pack - 3.1.2 (x64_x86)";"24.72.28517";"Microsoft Corporation";"Microsoft .NET Core AppHost Pack - 3.1.2 (x64_x86)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core AppHost Pack - 3.1.2 (x64)";"24.72.28517";"Microsoft Corporation";"Microsoft .NET Core AppHost Pack - 3.1.2 (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core AppHost Pack - 3.1.2 (x64_arm64)";"24.72.28517";"Microsoft Corporation";"Microsoft .NET Core AppHost Pack - 3.1.2 (x64_arm64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core Toolset 3.1.102 (x64)";"12.16.47641";"Microsoft Corporation";"Microsoft .NET Core Toolset 3.1.102 (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft Visual Studio 2019 Performance Collection Tools - ENU";"16.0.29519";"Microsoft Corporation";"Microsoft Visual Studio 2019 Performance Collection Tools - ENU";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core 3.1 Templates 3.1.102 (x64)";"3.1.3.014873";"Microsoft Corporation";"Microsoft .NET Core 3.1 Templates 3.1.102 (x64)";"NYC-BXII-L1031"
"10.03.2020 12:34:01";"installation";"program";"Microsoft .NET Core SDK 3.1.102 (x64)";"3.1.102.14873";"Microsoft Corporation";"Microsoft .NET Core SDK 3.1.102 (x64)";"NYC-BXII-L1031"
"10.03.2020 12:33:54";"installation";"program";"Python 3.7.5 (64-bit)";"3.7.5150.0";"Python Software Foundation";"Python 3.7.5 (64-bit)";"NYC-BXII-L1031"
"10.03.2020 12:31:36";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-PEQG-L783"
"10.03.2020 12:28:34";"uninstallation";"program";"GoToMeeting 10.8.0.16786";"10.8.0.16786";"LogMeIn, Inc.";"GoToMeeting 10.8.0.16786";"NYC-STPG-L072"
"10.03.2020 12:28:34";"installation";"program";"GoToMeeting 10.9.0.17052";"10.9.0.17052";"LogMeIn, Inc.";"GoToMeeting 10.9.0.17052";"NYC-STPG-L072"
"10.03.2020 12:26:26";"installation";"update";"KB4534321";"-";"Microsoft Corporation";"Windows Update";"NYC-BXII-L329"
"10.03.2020 12:26:26";"uninstallation";"update";"KB4534273";"-";"Microsoft Corporation";"Windows Update";"NYC-BXII-L329"
"10.03.2020 12:17:45";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L835"
"10.03.2020 12:17:45";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L835"
"10.03.2020 12:17:44";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-PORT-L022"
"10.03.2020 12:17:44";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-PORT-L022"
"10.03.2020 12:14:42";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"HUS-GSO-L071"
"10.03.2020 12:14:42";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"HUS-GSO-L071"
"10.03.2020 12:14:11";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-INFR-L061"
"10.03.2020 12:14:11";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-INFR-L061"
"10.03.2020 12:13:45";"uninstallation";"program";"Thunderbolt™ Software";"17.1.64.250";"Intel Corporation";"Thunderbolt™ Software";"NYC-BAAM-L819"
"10.03.2020 12:13:45";"installation";"program";"Thunderbolt™ Software";"17.4.79.510";"Intel Corporation";"Thunderbolt™ Software";"NYC-BAAM-L819"
"10.03.2020 12:13:15";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-GCS-L189"
"10.03.2020 12:13:15";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-GCS-L189"
"10.03.2020 12:10:58";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-GCS-L140"
"10.03.2020 12:10:58";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-GCS-L140"
"10.03.2020 12:09:23";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-FING-L593"
"10.03.2020 12:09:23";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-FING-L593"
"10.03.2020 12:09:01";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L929"
"10.03.2020 12:09:01";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L929"
"10.03.2020 12:01:25";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-GSO-L475"
"10.03.2020 12:01:25";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-GSO-L475"
"10.03.2020 12:00:38";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"LDN-STPG-L023"
"10.03.2020 12:00:38";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"LDN-STPG-L023"
"10.03.2020 12:00:12";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-GSO-L497"
"10.03.2020 12:00:12";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-GSO-L497"
"10.03.2020 11:58:33";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BAAM-L079"
"10.03.2020 11:58:33";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BAAM-L079"
"10.03.2020 11:58:25";"installation";"update";"KB4534321";"-";"Microsoft Corporation";"Windows Update";"NYC-PEQG-L919"
"10.03.2020 11:58:25";"uninstallation";"update";"KB4534273";"-";"Microsoft Corporation";"Windows Update";"NYC-PEQG-L919"
"10.03.2020 11:58:25";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-PEQG-L919"
"10.03.2020 11:58:25";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-PEQG-L919"
"10.03.2020 11:58:00";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L876"
"10.03.2020 11:58:00";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L876"
"10.03.2020 11:57:58";"installation";"program";"Slack";"4.3.4";"Slack Technologies Inc.";"Slack";"NYC-BXII-L876"
"10.03.2020 11:57:53";"uninstallation";"program";"Microsoft Remote Desktop";"10.1.1150.0";"Microsoft Corporation";"Microsoft Remote Desktop";"NYC-PEQG-T002"
"10.03.2020 11:57:53";"installation";"program";"Microsoft Remote Desktop";"10.1.1195.0";"Microsoft Corporation";"Microsoft Remote Desktop";"NYC-PEQG-T002"
"10.03.2020 11:55:04";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-STPG-L148"
"10.03.2020 11:55:04";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-STPG-L148"
"10.03.2020 11:52:44";"uninstallation";"program";"Microsoft Sticky Notes";"3.7.106.0";"Microsoft Corporation";"Microsoft Sticky Notes";"NYC-FING-L674"
"10.03.2020 11:52:44";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-FING-L674"
"10.03.2020 11:52:44";"installation";"program";"Microsoft Sticky Notes";"3.7.124.0";"Microsoft Corporation";"Microsoft Sticky Notes";"NYC-FING-L674"
"10.03.2020 11:52:44";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-FING-L674"
"10.03.2020 11:48:29";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L948"
"10.03.2020 11:48:29";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L948"
"10.03.2020 11:45:09";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L677"
"10.03.2020 11:45:09";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L677"
"10.03.2020 11:41:07";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L431"
"10.03.2020 11:41:07";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L431"
"10.03.2020 11:39:58";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BISG-L048"
"10.03.2020 11:39:58";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BISG-L048"
"10.03.2020 11:33:59";"uninstallation";"program";"VS Script Debugging Common";"16.0.95.0";"Microsoft Corporation";"VS Script Debugging Common";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_tipsmsi";"15.0.27005";"Microsoft Corporation";"vs_tipsmsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.15.26706";"14.15.26706";"Microsoft Corporation";"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.15.26706";"NYC-BXII-L1031"
